timestamp,Temperature,(S1)-SP510,(S2)-SP215
2025-06-03 05:30:00,17.625,-5.791045973255397,-4.52769119001505
2025-06-03 05:30:01,16.0,-8.811384610492267,-4.492239770926599
2025-06-03 05:30:02,16.0,-6.924021979960058,-4.492239770926599
2025-06-03 05:30:03,16.0,-9.943243760426261,-4.52769119001505
2025-06-03 05:30:04,16.0,-2.065461678884882,-4.492239770926599
2025-06-03 05:30:05,16.0,-0.9306907237987931,-4.52769119001505
2025-06-03 05:30:06,16.0,-1.471110079215967,-4.52769119001505
2025-06-03 05:30:06,16.0,-2.8217429704483874,-4.52769119001505
2025-06-03 05:30:07,16.0,-10.428198042656438,-4.52769119001505
2025-06-03 05:30:08,16.062,-8.110500013129798,-4.492239770926599
2025-06-03 05:30:09,16.062,-10.212672303191075,-4.492239770926599
2025-06-03 05:30:10,16.062,-2.5516638776088185,-4.52769119001505
2025-06-03 05:30:11,16.062,-0.8225954562176985,-4.52769119001505
2025-06-03 05:30:12,16.062,-1.2009122728591097,-4.52769119001505
2025-06-03 05:30:12,16.062,-3.1998138126819717,-4.52769119001505
2025-06-03 05:30:13,16.062,-10.697583848555032,-4.52769119001505
2025-06-03 05:30:14,16.062,-7.517318453887297,-4.492239770926599
2025-06-03 05:30:15,16.062,-7.247652484087899,-4.52769119001505
2025-06-03 05:30:16,16.062,-1.0387821925473348,-4.52769119001505
2025-06-03 05:30:17,16.062,-3.0377891499735505,-4.52769119001505
2025-06-03 05:30:18,16.062,-1.9574062990455983,-4.563143
2025-06-03 05:30:18,16.062,-9.727683831467917,-4.563143
2025-06-03 05:30:19,16.062,-7.517318453887297,-4.563143
2025-06-03 05:30:20,16.062,-9.727683831467917,-4.52769119001505
2025-06-03 05:30:21,16.062,-1.7412841428693677,-4.52769119001505
2025-06-03 05:30:22,16.062,-1.9033771845637477,-4.492239770926599
2025-06-03 05:30:23,16.062,-1.9574062990455983,-4.52769119001505
2025-06-03 05:30:24,16.062,-2.983779029654466,-4.492239770926599
2025-06-03 05:30:24,16.062,-10.697583848555032,-4.52769119001505
2025-06-03 05:30:25,16.062,-9.242618433385553,-4.52769119001505
2025-06-03 05:30:26,16.062,-6.546409846757282,-4.492239770926599
2025-06-03 05:30:27,16.062,-0.173944075247511,-4.52769119001505
2025-06-03 05:30:28,16.062,-3.091798320584496,-4.52769119001505
2025-06-03 05:30:29,16.062,-2.065461678884882,-4.492239770926599
2025-06-03 05:30:30,16.062,-8.86529216233241,-4.52769119001505
2025-06-03 05:30:31,16.062,-8.649656256723004,-4.563143
2025-06-03 05:30:31,16.062,-9.619898168739915,-4.492239770926599
2025-06-03 05:30:32,16.062,-1.9033771845637477,-4.563143
2025-06-03 05:30:33,16.062,-1.8493471203737593,-4.52769119001505
2025-06-03 05:30:34,16.062,-2.5516638776088185,-4.52769119001505
2025-06-03 05:30:35,16.062,-2.713714182436974,-4.563143
2025-06-03 05:30:36,16.062,-7.5712487987227615,-4.52769119001505
2025-06-03 05:30:37,16.062,-2.8217429704483874,-4.563143
2025-06-03 05:30:37,16.062,-1.6872512295549638,-4.52769119001505
2025-06-03 05:30:38,16.062,-2.1735132598916143,-4.52769119001505
2025-06-03 05:30:39,16.062,-2.5516638776088185,-4.52769119001505
2025-06-03 05:30:40,16.062,-8.218338859513548,-4.492239770926599
2025-06-03 05:30:41,16.062,-8.110500013129798,-4.492239770926599
2025-06-03 05:30:42,16.062,-8.595744906050305,-4.52769119001505
2025-06-03 05:30:43,16.062,-2.3896050254074184,-4.52769119001505
2025-06-03 05:30:43,16.062,-2.5516638776088185,-4.52769119001505
2025-06-03 05:30:44,16.062,-0.8225954562176985,-4.52769119001505
2025-06-03 05:30:45,16.062,-5.9529253306186565,-4.563143
2025-06-03 05:30:46,16.062,-9.566003912813708,-4.52769119001505
2025-06-03 05:30:47,16.062,-10.212672303191075,-4.492239770926599
2025-06-03 05:30:48,16.062,-3.0377891499735505,-4.52769119001505
2025-06-03 05:30:49,16.062,-2.065461678884882,-4.52769119001505
2025-06-03 05:30:50,16.062,-2.8217429704483874,-4.52769119001505
2025-06-03 05:30:50,16.062,-7.517318453887297,-4.52769119001505
2025-06-03 05:30:51,16.062,-11.128551753169587,-4.52769119001505
2025-06-03 05:30:52,16.062,-8.703566657687562,-4.563143
2025-06-03 05:30:53,16.062,-2.8757559398918855,-4.492239770926599
2025-06-03 05:30:54,16.062,-2.5516638776088185,-4.492239770926599
2025-06-03 05:30:55,16.062,-1.6872512295549638,-4.52769119001505
2025-06-03 05:30:56,16.062,-5.683121653139201,-4.52769119001505
2025-06-03 05:30:56,16.062,-10.697583848555032,-4.52769119001505
2025-06-03 05:30:57,16.062,-9.727683831467917,-4.492239770926599
2025-06-03 05:30:58,16.062,-5.089469988368231,-4.563143
2025-06-03 05:30:59,16.062,-0.6063935245578489,-4.52769119001505
2025-06-03 05:31:00,16.062,-2.8757559398918855,-4.52769119001505
2025-06-03 05:31:01,16.062,-3.091798320584496,-4.492239770926599
2025-06-03 05:31:02,16.062,-10.374318032352306,-4.52769119001505
2025-06-03 05:31:02,16.062,-8.43400515578338,-4.563143
2025-06-03 05:31:03,16.062,-9.13481567591106,-4.492239770926599
2025-06-03 05:31:04,16.062,-2.983779029654466,-4.52769119001505
2025-06-03 05:31:05,16.062,-0.3361197415499255,-4.563143
2025-06-03 05:31:06,16.062,-2.065461678884882,-4.52769119001505
2025-06-03 05:31:07,16.062,-2.7677290512967487,-4.52769119001505
2025-06-03 05:31:08,16.062,-10.051018026656601,-4.492239770926599
